cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [==================================>..............................] 26/47   Step: 954ms | Tot: 24s556ms | Loss: 0.716 | Acc: 80.409% (5352/6656)              
 [===================================>.............................] 27/47   Step: 956ms | Tot: 25s513ms | Loss: 0.717 | Acc: 80.396% (5557/6912)              
 [=====================================>...........................] 28/47   Step: 959ms | Tot: 26s473ms | Loss: 0.717 | Acc: 80.413% (5764/7168)              
 [======================================>..........................] 29/47   Step: 1s69ms | Tot: 27s542ms | Loss: 0.717 | Acc: 80.401% (5969/7424)              
 [========================================>........................] 30/47   Step: 959ms | Tot: 28s501ms | Loss: 0.718 | Acc: 80.326% (6169/7680)              
 [=========================================>.......................] 31/47   Step: 957ms | Tot: 29s459ms | Loss: 0.719 | Acc: 80.267% (6370/7936)              
 [==========================================>......................] 32/47   Step: 955ms | Tot: 30s414ms | Loss: 0.719 | Acc: 80.225% (6572/8192)              
 [============================================>....................] 33/47   Step: 975ms | Tot: 31s389ms | Loss: 0.712 | Acc: 80.386% (6791/8448)              
 [=============================================>...................] 34/47   Step: 1s64ms | Tot: 32s454ms | Loss: 0.710 | Acc: 80.469% (7004/8704)              
 [===============================================>.................] 35/47   Step: 957ms | Tot: 33s411ms | Loss: 0.714 | Acc: 80.268% (7192/8960)              
 [================================================>................] 36/47   Step: 954ms | Tot: 34s366ms | Loss: 0.717 | Acc: 80.122% (7384/9216)              
 [=================================================>...............] 37/47   Step: 957ms | Tot: 35s323ms | Loss: 0.719 | Acc: 80.099% (7587/9472)              
