cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 50.00 percent samples, 2785 overlapping with the pre-selected boundary samples
The unique selected subset size is: 29470
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/116   Step: 1m191ms | Tot: 0ms | Loss: 0.466 | Acc: 88.672% (227/256)              
 [>................................................................] 2/116   Step: 1s976ms | Tot: 1s977ms | Loss: 0.474 | Acc: 88.086% (451/512)              
 [=>...............................................................] 3/116   Step: 978ms | Tot: 2s955ms | Loss: 0.475 | Acc: 88.021% (676/768)              
 [=>...............................................................] 4/116   Step: 1s123ms | Tot: 4s79ms | Loss: 0.462 | Acc: 87.695% (898/1024)              
 [==>..............................................................] 5/116   Step: 949ms | Tot: 5s28ms | Loss: 0.467 | Acc: 87.188% (1116/1280)              
 [==>..............................................................] 6/116   Step: 950ms | Tot: 5s979ms | Loss: 0.474 | Acc: 87.109% (1338/1536)              
 [===>.............................................................] 7/116   Step: 950ms | Tot: 6s929ms | Loss: 0.467 | Acc: 87.556% (1569/1792)              
 [===>.............................................................] 8/116   Step: 950ms | Tot: 7s880ms | Loss: 0.461 | Acc: 87.549% (1793/2048)              
 [====>............................................................] 9/116   Step: 1s49ms | Tot: 8s929ms | Loss: 0.464 | Acc: 87.717% (2021/2304)              
 [=====>...........................................................] 10/116   Step: 952ms | Tot: 9s882ms | Loss: 0.456 | Acc: 87.891% (2250/2560)              
 [=====>...........................................................] 11/116   Step: 947ms | Tot: 10s830ms | Loss: 0.456 | Acc: 87.891% (2475/2816)              
 [======>..........................................................] 12/116   Step: 949ms | Tot: 11s779ms | Loss: 0.446 | Acc: 88.118% (2707/3072)              
 [======>..........................................................] 13/116   Step: 1s79ms | Tot: 12s859ms | Loss: 0.448 | Acc: 88.221% (2936/3328)              
 [=======>.........................................................] 14/116   Step: 959ms | Tot: 13s819ms | Loss: 0.447 | Acc: 88.281% (3164/3584)              
 [=======>.........................................................] 15/116   Step: 953ms | Tot: 14s772ms | Loss: 0.440 | Acc: 88.385% (3394/3840)              
 [======>..........................................................] 5/40   Step: 426ms | Tot: 1s669ms | Loss: 1.063 | Acc: 73.203% (937/1280)              
 [========>........................................................] 6/40   Step: 569ms | Tot: 2s239ms | Loss: 1.072 | Acc: 73.503% (1129/1536)              
 [=========>.......................................................] 7/40   Step: 410ms | Tot: 2s650ms | Loss: 1.082 | Acc: 73.382% (1315/1792)              
 [===========>.....................................................] 8/40   Step: 411ms | Tot: 3s61ms | Loss: 1.115 | Acc: 73.096% (1497/2048)              
 [=============>...................................................] 9/40   Step: 410ms | Tot: 3s471ms | Loss: 1.107 | Acc: 73.220% (1687/2304)              
 [==============>..................................................] 10/40   Step: 409ms | Tot: 3s881ms | Loss: 1.088 | Acc: 73.281% (1876/2560)              
 [================>................................................] 11/40   Step: 515ms | Tot: 4s396ms | Loss: 1.068 | Acc: 73.757% (2077/2816)              
 [=================>...............................................] 12/40   Step: 414ms | Tot: 4s810ms | Loss: 1.056 | Acc: 73.991% (2273/3072)              
 [===================>.............................................] 13/40   Step: 414ms | Tot: 5s225ms | Loss: 1.057 | Acc: 74.038% (2464/3328)              
 [=====================>...........................................] 14/40   Step: 409ms | Tot: 5s635ms | Loss: 1.071 | Acc: 73.577% (2637/3584)              
 [======================>..........................................] 15/40   Step: 411ms | Tot: 6s46ms | Loss: 1.067 | Acc: 73.698% (2830/3840)              
 [========================>........................................] 16/40   Step: 411ms | Tot: 6s457ms | Loss: 1.067 | Acc: 73.657% (3017/4096)              
 [==========================>......................................] 17/40   Step: 512ms | Tot: 6s970ms | Loss: 1.079 | Acc: 73.598% (3203/4352)              
 [===========================>.....................................] 18/40   Step: 409ms | Tot: 7s380ms | Loss: 1.079 | Acc: 73.546% (3389/4608)              
 [=============================>...................................] 19/40   Step: 411ms | Tot: 7s791ms | Loss: 1.076 | Acc: 73.520% (3576/4864)              
 [==============================>..................................] 20/40   Step: 411ms | Tot: 8s203ms | Loss: 1.070 | Acc: 73.594% (3768/5120)              
 [================================>................................] 21/40   Step: 413ms | Tot: 8s616ms | Loss: 1.073 | Acc: 73.735% (3964/5376)              
 [==================================>..............................] 22/40   Step: 515ms | Tot: 9s132ms | Loss: 1.075 | Acc: 73.739% (4153/5632)              
 [===================================>.............................] 23/40   Step: 413ms | Tot: 9s546ms | Loss: 1.082 | Acc: 73.607% (4334/5888)              
 [=====================================>...........................] 24/40   Step: 410ms | Tot: 9s956ms | Loss: 1.085 | Acc: 73.600% (4522/6144)              
 [=======================================>.........................] 25/40   Step: 411ms | Tot: 10s367ms | Loss: 1.082 | Acc: 73.562% (4708/6400)              
 [========================================>........................] 26/40   Step: 410ms | Tot: 10s777ms | Loss: 1.083 | Acc: 73.558% (4896/6656)              
 [==========================================>......................] 27/40   Step: 411ms | Tot: 11s189ms | Loss: 1.083 | Acc: 73.626% (5089/6912)              
 [===========================================>.....................] 28/40   Step: 526ms | Tot: 11s715ms | Loss: 1.082 | Acc: 73.689% (5282/7168)              
 [=============================================>...................] 29/40   Step: 410ms | Tot: 12s126ms | Loss: 1.079 | Acc: 73.747% (5475/7424)              
 [===============================================>.................] 30/40   Step: 410ms | Tot: 12s537ms | Loss: 1.076 | Acc: 73.841% (5671/7680)              
 [================================================>................] 31/40   Step: 412ms | Tot: 12s949ms | Loss: 1.081 | Acc: 73.753% (5853/7936)              
 [==================================================>..............] 32/40   Step: 411ms | Tot: 13s361ms | Loss: 1.080 | Acc: 73.779% (6044/8192)              
 [====================================================>............] 33/40   Step: 515ms | Tot: 13s877ms | Loss: 1.083 | Acc: 73.615% (6219/8448)              
 [=====================================================>...........] 34/40   Step: 411ms | Tot: 14s288ms | Loss: 1.087 | Acc: 73.506% (6398/8704)              
 [=======================================================>.........] 35/40   Step: 414ms | Tot: 14s702ms | Loss: 1.085 | Acc: 73.504% (6586/8960)              
 [========================================================>........] 36/40   Step: 371ms | Tot: 15s74ms | Loss: 1.082 | Acc: 73.546% (6778/9216)              
