cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===============>.................................................] 10/38   Step: 970ms | Tot: 9s3ms | Loss: 0.003 | Acc: 100.000% (2560/2560)              
 [=================>...............................................] 11/38   Step: 966ms | Tot: 9s970ms | Loss: 0.003 | Acc: 100.000% (2816/2816)              
 [==================>..............................................] 12/38   Step: 976ms | Tot: 10s947ms | Loss: 0.002 | Acc: 100.000% (3072/3072)              
 [====================>............................................] 13/38   Step: 959ms | Tot: 11s907ms | Loss: 0.002 | Acc: 100.000% (3328/3328)              
 [======================>..........................................] 14/38   Step: 1s96ms | Tot: 13s3ms | Loss: 0.002 | Acc: 100.000% (3584/3584)              
 [=======================>.........................................] 15/38   Step: 958ms | Tot: 13s961ms | Loss: 0.002 | Acc: 100.000% (3840/3840)              
 [=========================>.......................................] 16/38   Step: 957ms | Tot: 14s918ms | Loss: 0.002 | Acc: 100.000% (4096/4096)              
 [===========================>.....................................] 17/38   Step: 968ms | Tot: 15s886ms | Loss: 0.002 | Acc: 100.000% (4352/4352)              
 [=============================>...................................] 18/38   Step: 1s77ms | Tot: 16s964ms | Loss: 0.003 | Acc: 100.000% (4608/4608)              
 [==============================>..................................] 19/38   Step: 961ms | Tot: 17s925ms | Loss: 0.003 | Acc: 100.000% (4864/4864)              
 [================================>................................] 20/38   Step: 966ms | Tot: 18s891ms | Loss: 0.003 | Acc: 100.000% (5120/5120)              
 [==================================>..............................] 21/38   Step: 966ms | Tot: 19s857ms | Loss: 0.003 | Acc: 100.000% (5376/5376)              
 [===================================>.............................] 22/38   Step: 978ms | Tot: 20s835ms | Loss: 0.003 | Acc: 100.000% (5632/5632)              
 [=====================================>...........................] 23/38   Step: 1s76ms | Tot: 21s912ms | Loss: 0.003 | Acc: 100.000% (5888/5888)              
 [=======================================>.........................] 24/38   Step: 959ms | Tot: 22s872ms | Loss: 0.002 | Acc: 100.000% (6144/6144)              
 [=========================================>.......................] 25/38   Step: 958ms | Tot: 23s830ms | Loss: 0.003 | Acc: 100.000% (6400/6400)              
