cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=====================================================>...........] 34/40   Step: 520ms | Tot: 14s409ms | Loss: 0.278 | Acc: 93.003% (8095/8704)              
 [=======================================================>.........] 35/40   Step: 416ms | Tot: 14s826ms | Loss: 0.281 | Acc: 92.946% (8328/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s199ms | Loss: 0.284 | Acc: 92.893% (8561/9216)              
 [==========================================================>......] 37/40   Step: 373ms | Tot: 15s573ms | Loss: 0.282 | Acc: 92.937% (8803/9472)              
 [============================================================>....] 38/40   Step: 374ms | Tot: 15s947ms | Loss: 0.284 | Acc: 92.887% (9036/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s319ms | Loss: 0.283 | Acc: 92.899% (9275/9984)              
 [===============================================================>.] 40/40   Step: 2s461ms | Tot: 18s781ms | Loss: 0.283 | Acc: 92.900% (9290/10000)
Saving with better validation accuracy model: 92.900..

Epoch: 1
 [>................................................................] 1/79   Step: 2s963ms | Tot: 0ms | Loss: 0.079 | Acc: 98.047% (251/256)              
 [>................................................................] 2/79   Step: 969ms | Tot: 969ms | Loss: 0.073 | Acc: 98.242% (503/512)              
 [=>...............................................................] 3/79   Step: 961ms | Tot: 1s930ms | Loss: 0.070 | Acc: 98.307% (755/768)              
 [==>..............................................................] 4/79   Step: 977ms | Tot: 2s907ms | Loss: 0.079 | Acc: 98.047% (1004/1024)              
 [===>.............................................................] 5/79   Step: 1s123ms | Tot: 4s31ms | Loss: 0.067 | Acc: 98.281% (1258/1280)              
 [====>............................................................] 6/79   Step: 963ms | Tot: 4s995ms | Loss: 0.062 | Acc: 98.372% (1511/1536)              
 [====>............................................................] 7/79   Step: 977ms | Tot: 5s972ms | Loss: 0.068 | Acc: 98.158% (1759/1792)              
 [=====>...........................................................] 8/79   Step: 960ms | Tot: 6s932ms | Loss: 0.067 | Acc: 98.145% (2010/2048)              
 [======>..........................................................] 9/79   Step: 1s70ms | Tot: 8s3ms | Loss: 0.062 | Acc: 98.264% (2264/2304)              
 [=======>.........................................................] 10/79   Step: 960ms | Tot: 8s964ms | Loss: 0.063 | Acc: 98.242% (2515/2560)              
 [========>........................................................] 11/79   Step: 962ms | Tot: 9s927ms | Loss: 0.062 | Acc: 98.260% (2767/2816)              
 [=========>.......................................................] 12/79   Step: 962ms | Tot: 10s889ms | Loss: 0.063 | Acc: 98.242% (3018/3072)              
 [=========>.......................................................] 13/79   Step: 956ms | Tot: 11s846ms | Loss: 0.061 | Acc: 98.257% (3270/3328)              
 [==========>......................................................] 14/79   Step: 1s101ms | Tot: 12s947ms | Loss: 0.062 | Acc: 98.270% (3522/3584)              
 [===========>.....................................................] 15/79   Step: 955ms | Tot: 13s902ms | Loss: 0.060 | Acc: 98.281% (3774/3840)              
 [============>....................................................] 16/79   Step: 956ms | Tot: 14s859ms | Loss: 0.062 | Acc: 98.193% (4022/4096)              
 [=============>...................................................] 17/79   Step: 972ms | Tot: 15s831ms | Loss: 0.063 | Acc: 98.139% (4271/4352)              
 [=============>...................................................] 18/79   Step: 1s65ms | Tot: 16s897ms | Loss: 0.063 | Acc: 98.112% (4521/4608)              
 [==============>..................................................] 19/79   Step: 958ms | Tot: 17s855ms | Loss: 0.063 | Acc: 98.129% (4773/4864)              
 [===============>.................................................] 20/79   Step: 956ms | Tot: 18s812ms | Loss: 0.062 | Acc: 98.164% (5026/5120)              
 [================>................................................] 21/79   Step: 957ms | Tot: 19s769ms | Loss: 0.061 | Acc: 98.177% (5278/5376)              
 [=================>...............................................] 22/79   Step: 957ms | Tot: 20s726ms | Loss: 0.060 | Acc: 98.224% (5532/5632)              
 [==================>..............................................] 23/79   Step: 1s62ms | Tot: 21s789ms | Loss: 0.060 | Acc: 98.234% (5784/5888)              
 [==================>..............................................] 24/79   Step: 958ms | Tot: 22s747ms | Loss: 0.063 | Acc: 98.161% (6031/6144)              
 [===================>.............................................] 25/79   Step: 957ms | Tot: 23s705ms | Loss: 0.064 | Acc: 98.156% (6282/6400)              
 [====================>............................................] 26/79   Step: 958ms | Tot: 24s663ms | Loss: 0.066 | Acc: 98.122% (6531/6656)              
 [=====================>...........................................] 27/79   Step: 977ms | Tot: 25s641ms | Loss: 0.066 | Acc: 98.134% (6783/6912)              
 [======================>..........................................] 28/79   Step: 1s67ms | Tot: 26s708ms | Loss: 0.067 | Acc: 98.103% (7032/7168)              
 [=======================>.........................................] 29/79   Step: 960ms | Tot: 27s668ms | Loss: 0.067 | Acc: 98.074% (7281/7424)              
 [=======================>.........................................] 30/79   Step: 960ms | Tot: 28s629ms | Loss: 0.069 | Acc: 97.995% (7526/7680)              
 [========================>........................................] 31/79   Step: 962ms | Tot: 29s591ms | Loss: 0.070 | Acc: 97.959% (7774/7936)              
 [=========================>.......................................] 32/79   Step: 957ms | Tot: 30s548ms | Loss: 0.072 | Acc: 97.913% (8021/8192)              
 [==========================>......................................] 33/79   Step: 1s63ms | Tot: 31s612ms | Loss: 0.073 | Acc: 97.881% (8269/8448)              
 [===========================>.....................................] 34/79   Step: 962ms | Tot: 32s574ms | Loss: 0.072 | Acc: 97.909% (8522/8704)              
 [===========================>.....................................] 35/79   Step: 960ms | Tot: 33s535ms | Loss: 0.072 | Acc: 97.902% (8772/8960)              
 [============================>....................................] 36/79   Step: 957ms | Tot: 34s492ms | Loss: 0.074 | Acc: 97.884% (9021/9216)              
 [=============================>...................................] 37/79   Step: 977ms | Tot: 35s470ms | Loss: 0.075 | Acc: 97.889% (9272/9472)              
 [==============================>..................................] 38/79   Step: 1s62ms | Tot: 36s533ms | Loss: 0.076 | Acc: 97.882% (9522/9728)              
