cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Start to select 6506 samples for a fair comparison.
The unique selected subset size is: 6506
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [========>........................................................] 6/40   Step: 424ms | Tot: 2s268ms | Loss: 0.639 | Acc: 84.310% (1295/1536)              
 [=========>.......................................................] 7/40   Step: 527ms | Tot: 2s795ms | Loss: 0.643 | Acc: 84.487% (1514/1792)              
 [===========>.....................................................] 8/40   Step: 421ms | Tot: 3s217ms | Loss: 0.652 | Acc: 84.521% (1731/2048)              
 [=============>...................................................] 9/40   Step: 422ms | Tot: 3s639ms | Loss: 0.651 | Acc: 84.505% (1947/2304)              
 [==============>..................................................] 10/40   Step: 422ms | Tot: 4s62ms | Loss: 0.634 | Acc: 84.922% (2174/2560)              
 [================>................................................] 11/40   Step: 423ms | Tot: 4s485ms | Loss: 0.629 | Acc: 85.050% (2395/2816)              
 [=================>...............................................] 12/40   Step: 418ms | Tot: 4s903ms | Loss: 0.632 | Acc: 85.059% (2613/3072)              
 [===================>.............................................] 13/40   Step: 529ms | Tot: 5s433ms | Loss: 0.636 | Acc: 84.886% (2825/3328)              
 [=====================>...........................................] 14/40   Step: 422ms | Tot: 5s855ms | Loss: 0.628 | Acc: 84.933% (3044/3584)              
 [======================>..........................................] 15/40   Step: 421ms | Tot: 6s276ms | Loss: 0.633 | Acc: 84.974% (3263/3840)              
 [========================>........................................] 16/40   Step: 423ms | Tot: 6s700ms | Loss: 0.636 | Acc: 84.937% (3479/4096)              
 [==========================>......................................] 17/40   Step: 420ms | Tot: 7s120ms | Loss: 0.636 | Acc: 84.949% (3697/4352)              
 [===========================>.....................................] 18/40   Step: 422ms | Tot: 7s542ms | Loss: 0.641 | Acc: 84.766% (3906/4608)              
 [=============================>...................................] 19/40   Step: 526ms | Tot: 8s69ms | Loss: 0.636 | Acc: 84.910% (4130/4864)              
 [==============================>..................................] 20/40   Step: 440ms | Tot: 8s509ms | Loss: 0.637 | Acc: 84.863% (4345/5120)              
 [================================>................................] 21/40   Step: 420ms | Tot: 8s930ms | Loss: 0.639 | Acc: 84.914% (4565/5376)              
 [==================================>..............................] 22/40   Step: 417ms | Tot: 9s348ms | Loss: 0.645 | Acc: 84.854% (4779/5632)              
 [===================================>.............................] 23/40   Step: 421ms | Tot: 9s769ms | Loss: 0.647 | Acc: 84.732% (4989/5888)              
 [=====================================>...........................] 24/40   Step: 420ms | Tot: 10s189ms | Loss: 0.642 | Acc: 84.684% (5203/6144)              
 [=======================================>.........................] 25/40   Step: 526ms | Tot: 10s715ms | Loss: 0.646 | Acc: 84.719% (5422/6400)              
 [========================================>........................] 26/40   Step: 417ms | Tot: 11s133ms | Loss: 0.656 | Acc: 84.585% (5630/6656)              
 [==========================================>......................] 27/40   Step: 417ms | Tot: 11s550ms | Loss: 0.660 | Acc: 84.563% (5845/6912)              
 [===========================================>.....................] 28/40   Step: 422ms | Tot: 11s973ms | Loss: 0.667 | Acc: 84.487% (6056/7168)              
 [=============================================>...................] 29/40   Step: 424ms | Tot: 12s397ms | Loss: 0.668 | Acc: 84.483% (6272/7424)              
 [===============================================>.................] 30/40   Step: 418ms | Tot: 12s815ms | Loss: 0.674 | Acc: 84.336% (6477/7680)              
 [================================================>................] 31/40   Step: 519ms | Tot: 13s335ms | Loss: 0.671 | Acc: 84.425% (6700/7936)              
 [==================================================>..............] 32/40   Step: 416ms | Tot: 13s751ms | Loss: 0.672 | Acc: 84.399% (6914/8192)              
 [====================================================>............] 33/40   Step: 417ms | Tot: 14s168ms | Loss: 0.671 | Acc: 84.399% (7130/8448)              
 [=====================================================>...........] 34/40   Step: 416ms | Tot: 14s584ms | Loss: 0.669 | Acc: 84.467% (7352/8704)              
 [=======================================================>.........] 35/40   Step: 413ms | Tot: 14s997ms | Loss: 0.669 | Acc: 84.542% (7575/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s370ms | Loss: 0.669 | Acc: 84.484% (7786/9216)              
 [==========================================================>......] 37/40   Step: 369ms | Tot: 15s740ms | Loss: 0.671 | Acc: 84.512% (8005/9472)              
 [============================================================>....] 38/40   Step: 471ms | Tot: 16s212ms | Loss: 0.674 | Acc: 84.385% (8209/9728)              
 [=============================================================>...] 39/40   Step: 369ms | Tot: 16s581ms | Loss: 0.672 | Acc: 84.445% (8431/9984)              
 [===============================================================>.] 40/40   Step: 381ms | Tot: 16s963ms | Loss: 0.671 | Acc: 84.460% (8446/10000)
Saving with better validation accuracy model: 84.460..

Epoch: 3
 [>................................................................] 1/26   Step: 1s904ms | Tot: 0ms | Loss: 0.092 | Acc: 97.266% (249/256)              
 [==>..............................................................] 2/26   Step: 980ms | Tot: 980ms | Loss: 0.139 | Acc: 95.898% (491/512)              
 [=====>...........................................................] 3/26   Step: 1s131ms | Tot: 2s111ms | Loss: 0.156 | Acc: 95.443% (733/768)              
 [=======>.........................................................] 4/26   Step: 974ms | Tot: 3s86ms | Loss: 0.144 | Acc: 95.703% (980/1024)              
 [==========>......................................................] 5/26   Step: 980ms | Tot: 4s67ms | Loss: 0.173 | Acc: 95.000% (1216/1280)              
 [============>....................................................] 6/26   Step: 980ms | Tot: 5s48ms | Loss: 0.179 | Acc: 94.727% (1455/1536)              
 [===============>.................................................] 7/26   Step: 1s73ms | Tot: 6s121ms | Loss: 0.177 | Acc: 94.978% (1702/1792)              
 [=================>...............................................] 8/26   Step: 973ms | Tot: 7s95ms | Loss: 0.169 | Acc: 95.166% (1949/2048)              
 [====================>............................................] 9/26   Step: 968ms | Tot: 8s64ms | Loss: 0.163 | Acc: 95.312% (2196/2304)              
 [======================>..........................................] 10/26   Step: 965ms | Tot: 9s29ms | Loss: 0.161 | Acc: 95.469% (2444/2560)              
 [=========================>.......................................] 11/26   Step: 981ms | Tot: 10s11ms | Loss: 0.172 | Acc: 95.277% (2683/2816)              
 [===========================>.....................................] 12/26   Step: 1s102ms | Tot: 11s113ms | Loss: 0.175 | Acc: 95.117% (2922/3072)              
 [==============================>..................................] 13/26   Step: 969ms | Tot: 12s82ms | Loss: 0.173 | Acc: 95.192% (3168/3328)              
 [================================>................................] 14/26   Step: 973ms | Tot: 13s55ms | Loss: 0.175 | Acc: 95.145% (3410/3584)              
