cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 70.00 percent samples, 984 overlapping with the pre-selected boundary samples
The unique selected subset size is: 30085
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/118   Step: 1m10s | Tot: 0ms | Loss: 0.012 | Acc: 99.609% (255/256)              
 [>................................................................] 2/118   Step: 1s962ms | Tot: 1s962ms | Loss: 0.019 | Acc: 99.609% (510/512)              
 [=>...............................................................] 3/118   Step: 987ms | Tot: 2s949ms | Loss: 0.025 | Acc: 99.349% (763/768)              
 [=>...............................................................] 4/118   Step: 1s120ms | Tot: 4s70ms | Loss: 0.031 | Acc: 99.121% (1015/1024)              
 [==>..............................................................] 5/118   Step: 949ms | Tot: 5s19ms | Loss: 0.029 | Acc: 99.219% (1270/1280)              
 [==>..............................................................] 6/118   Step: 949ms | Tot: 5s969ms | Loss: 0.028 | Acc: 99.219% (1524/1536)              
 [===>.............................................................] 7/118   Step: 947ms | Tot: 6s917ms | Loss: 0.032 | Acc: 99.219% (1778/1792)              
 [===>.............................................................] 8/118   Step: 949ms | Tot: 7s866ms | Loss: 0.040 | Acc: 99.121% (2030/2048)              
 [====>............................................................] 9/118   Step: 1s52ms | Tot: 8s919ms | Loss: 0.037 | Acc: 99.175% (2285/2304)              
 [====>............................................................] 10/118   Step: 948ms | Tot: 9s867ms | Loss: 0.034 | Acc: 99.219% (2540/2560)              
 [=====>...........................................................] 11/118   Step: 945ms | Tot: 10s813ms | Loss: 0.036 | Acc: 99.112% (2791/2816)              
 [======>..........................................................] 12/118   Step: 950ms | Tot: 11s763ms | Loss: 0.034 | Acc: 99.089% (3044/3072)              
 [======>..........................................................] 13/118   Step: 968ms | Tot: 12s732ms | Loss: 0.035 | Acc: 99.038% (3296/3328)              
 [=======>.........................................................] 14/118   Step: 1s69ms | Tot: 13s802ms | Loss: 0.036 | Acc: 99.023% (3549/3584)              
 [=======>.........................................................] 15/118   Step: 950ms | Tot: 14s752ms | Loss: 0.038 | Acc: 99.010% (3802/3840)              
 [=======================================================>.........] 101/118   Step: 953ms | Tot: 1m38s | Loss: 0.029 | Acc: 99.261% (25665/25856)              
 [=======================================================>.........] 102/118   Step: 1s53ms | Tot: 1m39s | Loss: 0.029 | Acc: 99.261% (25919/26112)              
 [========================================================>........] 103/118   Step: 947ms | Tot: 1m40s | Loss: 0.029 | Acc: 99.264% (26174/26368)              
 [========================================================>........] 104/118   Step: 947ms | Tot: 1m41s | Loss: 0.029 | Acc: 99.268% (26429/26624)              
 [=========================================================>.......] 105/118   Step: 949ms | Tot: 1m42s | Loss: 0.029 | Acc: 99.267% (26683/26880)              
 [=========================================================>.......] 106/118   Step: 961ms | Tot: 1m43s | Loss: 0.029 | Acc: 99.263% (26936/27136)              
 [==========================================================>......] 107/118   Step: 1s89ms | Tot: 1m44s | Loss: 0.028 | Acc: 99.266% (27191/27392)              
 [==========================================================>......] 108/118   Step: 957ms | Tot: 1m45s | Loss: 0.028 | Acc: 99.269% (27446/27648)              
 [===========================================================>.....] 109/118   Step: 948ms | Tot: 1m46s | Loss: 0.028 | Acc: 99.273% (27701/27904)              
 [============================================================>....] 110/118   Step: 949ms | Tot: 1m47s | Loss: 0.028 | Acc: 99.268% (27954/28160)              
 [============================================================>....] 111/118   Step: 1s66ms | Tot: 1m48s | Loss: 0.029 | Acc: 99.257% (28205/28416)              
 [=============================================================>...] 112/118   Step: 947ms | Tot: 1m49s | Loss: 0.029 | Acc: 99.261% (28460/28672)              
 [=============================================================>...] 113/118   Step: 944ms | Tot: 1m50s | Loss: 0.028 | Acc: 99.264% (28715/28928)              
 [==============================================================>..] 114/118   Step: 895ms | Tot: 1m51s | Loss: 0.028 | Acc: 99.263% (28969/29184)              
 [==============================================================>..] 115/118   Step: 835ms | Tot: 1m52s | Loss: 0.028 | Acc: 99.263% (29223/29440)              
 [===============================================================>.] 116/118   Step: 957ms | Tot: 1m53s | Loss: 0.028 | Acc: 99.266% (29478/29696)              
 [===============================================================>.] 117/118   Step: 835ms | Tot: 1m53s | Loss: 0.028 | Acc: 99.272% (29734/29952)              
 [================================================================>] 118/118   Step: 8s839ms | Tot: 2m2s | Loss: 0.028 | Acc: 99.269% (29865/30085)
 [>................................................................] 1/40   Step: 1s117ms | Tot: 0ms | Loss: 0.103 | Acc: 96.875% (248/256)              
 [=>...............................................................] 2/40   Step: 598ms | Tot: 598ms | Loss: 0.203 | Acc: 93.945% (481/512)              
 [===>.............................................................] 3/40   Step: 423ms | Tot: 1s22ms | Loss: 0.206 | Acc: 94.271% (724/768)              
 [====>............................................................] 4/40   Step: 418ms | Tot: 1s440ms | Loss: 0.194 | Acc: 94.531% (968/1024)              
 [======>..........................................................] 5/40   Step: 422ms | Tot: 1s863ms | Loss: 0.188 | Acc: 94.766% (1213/1280)              
 [========>........................................................] 6/40   Step: 422ms | Tot: 2s285ms | Loss: 0.204 | Acc: 94.531% (1452/1536)              
 [=========>.......................................................] 7/40   Step: 420ms | Tot: 2s706ms | Loss: 0.199 | Acc: 94.810% (1699/1792)              
 [===========>.....................................................] 8/40   Step: 528ms | Tot: 3s234ms | Loss: 0.204 | Acc: 94.824% (1942/2048)              
 [=============>...................................................] 9/40   Step: 423ms | Tot: 3s658ms | Loss: 0.214 | Acc: 94.618% (2180/2304)              
 [==============>..................................................] 10/40   Step: 420ms | Tot: 4s78ms | Loss: 0.197 | Acc: 94.961% (2431/2560)              
 [================>................................................] 11/40   Step: 422ms | Tot: 4s500ms | Loss: 0.201 | Acc: 94.815% (2670/2816)              
 [=================>...............................................] 12/40   Step: 416ms | Tot: 4s917ms | Loss: 0.203 | Acc: 94.792% (2912/3072)              
 [===================>.............................................] 13/40   Step: 527ms | Tot: 5s444ms | Loss: 0.207 | Acc: 94.621% (3149/3328)              
 [=====================>...........................................] 14/40   Step: 417ms | Tot: 5s862ms | Loss: 0.203 | Acc: 94.699% (3394/3584)              
 [======================>..........................................] 15/40   Step: 416ms | Tot: 6s278ms | Loss: 0.205 | Acc: 94.635% (3634/3840)              
 [========================>........................................] 16/40   Step: 417ms | Tot: 6s696ms | Loss: 0.216 | Acc: 94.434% (3868/4096)              
 [==========================>......................................] 17/40   Step: 416ms | Tot: 7s112ms | Loss: 0.211 | Acc: 94.554% (4115/4352)              
 [===========================>.....................................] 18/40   Step: 418ms | Tot: 7s530ms | Loss: 0.218 | Acc: 94.336% (4347/4608)              
 [=============================>...................................] 19/40   Step: 522ms | Tot: 8s53ms | Loss: 0.216 | Acc: 94.408% (4592/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s471ms | Loss: 0.218 | Acc: 94.355% (4831/5120)              
 [================================>................................] 21/40   Step: 431ms | Tot: 8s903ms | Loss: 0.216 | Acc: 94.420% (5076/5376)              
 [==================================>..............................] 22/40   Step: 413ms | Tot: 9s317ms | Loss: 0.217 | Acc: 94.389% (5316/5632)              
 [===================================>.............................] 23/40   Step: 418ms | Tot: 9s735ms | Loss: 0.219 | Acc: 94.361% (5556/5888)              
 [=====================================>...........................] 24/40   Step: 523ms | Tot: 10s258ms | Loss: 0.219 | Acc: 94.401% (5800/6144)              
 [=======================================>.........................] 25/40   Step: 422ms | Tot: 10s681ms | Loss: 0.223 | Acc: 94.375% (6040/6400)              
 [========================================>........................] 26/40   Step: 421ms | Tot: 11s102ms | Loss: 0.228 | Acc: 94.306% (6277/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s519ms | Loss: 0.227 | Acc: 94.343% (6521/6912)              
 [===========================================>.....................] 28/40   Step: 411ms | Tot: 11s931ms | Loss: 0.231 | Acc: 94.224% (6754/7168)              
 [=============================================>...................] 29/40   Step: 411ms | Tot: 12s342ms | Loss: 0.231 | Acc: 94.208% (6994/7424)              
 [===============================================>.................] 30/40   Step: 517ms | Tot: 12s859ms | Loss: 0.230 | Acc: 94.284% (7241/7680)              
 [================================================>................] 31/40   Step: 413ms | Tot: 13s273ms | Loss: 0.231 | Acc: 94.241% (7479/7936)              
 [==================================================>..............] 32/40   Step: 412ms | Tot: 13s686ms | Loss: 0.229 | Acc: 94.287% (7724/8192)              
 [====================================================>............] 33/40   Step: 413ms | Tot: 14s99ms | Loss: 0.232 | Acc: 94.247% (7962/8448)              
 [=====================================================>...........] 34/40   Step: 412ms | Tot: 14s511ms | Loss: 0.233 | Acc: 94.152% (8195/8704)              
