cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 14546 samples for weakkness <= 9.
Train with the selected 14546 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [==========================================>......................] 38/57   Step: 965ms | Tot: 36s444ms | Loss: 0.003 | Acc: 99.990% (9727/9728)              
 [===========================================>.....................] 39/57   Step: 955ms | Tot: 37s399ms | Loss: 0.003 | Acc: 99.990% (9983/9984)              
 [============================================>....................] 40/57   Step: 956ms | Tot: 38s356ms | Loss: 0.003 | Acc: 99.990% (10239/10240)              
 [=============================================>...................] 41/57   Step: 1s59ms | Tot: 39s416ms | Loss: 0.003 | Acc: 99.990% (10495/10496)              
 [==============================================>..................] 42/57   Step: 957ms | Tot: 40s374ms | Loss: 0.003 | Acc: 99.991% (10751/10752)              
 [===============================================>.................] 43/57   Step: 955ms | Tot: 41s329ms | Loss: 0.003 | Acc: 99.991% (11007/11008)              
 [=================================================>...............] 44/57   Step: 964ms | Tot: 42s294ms | Loss: 0.003 | Acc: 99.991% (11263/11264)              
 [==================================================>..............] 45/57   Step: 1s62ms | Tot: 43s357ms | Loss: 0.003 | Acc: 99.991% (11519/11520)              
 [===================================================>.............] 46/57   Step: 956ms | Tot: 44s313ms | Loss: 0.003 | Acc: 99.992% (11775/11776)              
 [====================================================>............] 47/57   Step: 952ms | Tot: 45s266ms | Loss: 0.003 | Acc: 99.992% (12031/12032)              
 [=====================================================>...........] 48/57   Step: 959ms | Tot: 46s225ms | Loss: 0.003 | Acc: 99.992% (12287/12288)              
 [======================================================>..........] 49/57   Step: 976ms | Tot: 47s201ms | Loss: 0.003 | Acc: 99.992% (12543/12544)              
 [=======================================================>.........] 50/57   Step: 1s67ms | Tot: 48s268ms | Loss: 0.003 | Acc: 99.992% (12799/12800)              
 [=========================================================>.......] 51/57   Step: 955ms | Tot: 49s224ms | Loss: 0.003 | Acc: 99.992% (13055/13056)              
 [==========================================================>......] 52/57   Step: 953ms | Tot: 50s178ms | Loss: 0.002 | Acc: 99.992% (13311/13312)              
 [===========================================================>.....] 53/57   Step: 937ms | Tot: 51s115ms | Loss: 0.002 | Acc: 99.993% (13567/13568)              
 [============================================================>....] 54/57   Step: 984ms | Tot: 52s100ms | Loss: 0.002 | Acc: 99.993% (13823/13824)              
 [=============================================================>...] 55/57   Step: 840ms | Tot: 52s941ms | Loss: 0.002 | Acc: 99.993% (14079/14080)              
 [==============================================================>..] 56/57   Step: 841ms | Tot: 53s782ms | Loss: 0.003 | Acc: 99.993% (14335/14336)              
 [===============================================================>.] 57/57   Step: 848ms | Tot: 54s630ms | Loss: 0.003 | Acc: 99.993% (14545/14546)
 [>................................................................] 1/40   Step: 1s167ms | Tot: 0ms | Loss: 0.152 | Acc: 96.875% (248/256)              
 [=>...............................................................] 2/40   Step: 419ms | Tot: 419ms | Loss: 0.238 | Acc: 94.336% (483/512)              
 [===>.............................................................] 3/40   Step: 598ms | Tot: 1s18ms | Loss: 0.266 | Acc: 93.099% (715/768)              
 [====>............................................................] 4/40   Step: 416ms | Tot: 1s435ms | Loss: 0.254 | Acc: 92.969% (952/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s853ms | Loss: 0.236 | Acc: 93.281% (1194/1280)              
 [========>........................................................] 6/40   Step: 412ms | Tot: 2s265ms | Loss: 0.246 | Acc: 92.969% (1428/1536)              
 [=========>.......................................................] 7/40   Step: 412ms | Tot: 2s678ms | Loss: 0.250 | Acc: 92.969% (1666/1792)              
 [===========>.....................................................] 8/40   Step: 521ms | Tot: 3s200ms | Loss: 0.250 | Acc: 92.871% (1902/2048)              
 [=============>...................................................] 9/40   Step: 418ms | Tot: 3s618ms | Loss: 0.249 | Acc: 92.882% (2140/2304)              
